Epoch: 0, Test Loss: 1.1887319684028625
{'recon_loss': 0.8451504707336426, 'kl_loss': 1013.6334838867188, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.7923322916030884, 'kl_loss': 1888.4417724609375, 'test_loss': 1.1887319684028625}
{'recon_loss': 1.3738206624984741, 'kl_loss': 25458.8984375, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.858415961265564, 'kl_loss': 1665.9534912109375, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.8504012823104858, 'kl_loss': 156.59765625, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.785782516002655, 'kl_loss': 2154.889892578125, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.9809470176696777, 'kl_loss': 26.52035140991211, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.6105136275291443, 'kl_loss': 101.5177001953125, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5339294672012329, 'kl_loss': 117.70092010498047, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5910078287124634, 'kl_loss': 114.5294189453125, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5897669792175293, 'kl_loss': 115.11434173583984, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4259506165981293, 'kl_loss': 115.03854370117188, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.7422247529029846, 'kl_loss': 115.37727355957031, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.6836155652999878, 'kl_loss': 115.46971893310547, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5933305025100708, 'kl_loss': 116.1850814819336, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.6185770034790039, 'kl_loss': 111.39334106445312, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.6219433546066284, 'kl_loss': 111.87733459472656, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5092694759368896, 'kl_loss': 108.66777801513672, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.971797525882721, 'kl_loss': 103.76123046875, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5006144046783447, 'kl_loss': 102.417724609375, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4737766683101654, 'kl_loss': 101.62480163574219, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4645211100578308, 'kl_loss': 99.66277313232422, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.45373210310935974, 'kl_loss': 95.75472259521484, 'test_loss': 1.1887319684028625}
{'recon_loss': 457.46685791015625, 'kl_loss': 93.06207275390625, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5273608565330505, 'kl_loss': 88.3463363647461, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5649078488349915, 'kl_loss': 87.31333923339844, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.8416069746017456, 'kl_loss': 85.31640625, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5097006559371948, 'kl_loss': 73.05268096923828, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.5232967734336853, 'kl_loss': 67.9055404663086, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4469676911830902, 'kl_loss': 66.33189392089844, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.4671248495578766, 'kl_loss': 57.167762756347656, 'test_loss': 1.1887319684028625}
{'recon_loss': 456.80230712890625, 'kl_loss': 48.978721618652344, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.6129933595657349, 'kl_loss': 17.610157012939453, 'test_loss': 1.1887319684028625}
{'recon_loss': 430.3763732910156, 'kl_loss': 59.80420684814453, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.8421037793159485, 'kl_loss': 15161598.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.6249128580093384, 'kl_loss': 15161502.0, 'test_loss': 1.1887319684028625}
{'recon_loss': 0.6411890387535095, 'kl_loss': 15161499.0, 'test_loss': 1.1887319684028625}
