Epoch: 0, Test Loss: 1.091782808303833
{'recon_loss': 1.048365831375122, 'kl_loss': 5.472694396972656, 'test_loss': 1.091782808303833}
{'recon_loss': 1.0717588663101196, 'kl_loss': 18.58597183227539, 'test_loss': 1.091782808303833}
{'recon_loss': 1.0114213228225708, 'kl_loss': 39.46886444091797, 'test_loss': 1.091782808303833}
{'recon_loss': 0.9600998163223267, 'kl_loss': 180.51708984375, 'test_loss': 1.091782808303833}
{'recon_loss': 0.9192460775375366, 'kl_loss': 38.55815505981445, 'test_loss': 1.091782808303833}
{'recon_loss': 0.9460369348526001, 'kl_loss': 38.31511688232422, 'test_loss': 1.091782808303833}
{'recon_loss': 0.8363869190216064, 'kl_loss': 156.09185791015625, 'test_loss': 1.091782808303833}
{'recon_loss': 1.3676174879074097, 'kl_loss': 1011.896728515625, 'test_loss': 1.091782808303833}
{'recon_loss': 0.9252562522888184, 'kl_loss': 1825.712646484375, 'test_loss': 1.091782808303833}
{'recon_loss': 0.7970120906829834, 'kl_loss': 2517.4580078125, 'test_loss': 1.091782808303833}
Epoch: 10, Test Loss: 0.8540992885828018
{'recon_loss': 0.7845600247383118, 'kl_loss': 1983.74072265625, 'test_loss': 0.8540992885828018}
{'recon_loss': 0.7544859647750854, 'kl_loss': 987.1715698242188, 'test_loss': 0.8540992885828018}
{'recon_loss': 0.8055321574211121, 'kl_loss': 640.177734375, 'test_loss': 0.8540992885828018}
{'recon_loss': 0.6720574498176575, 'kl_loss': 551.11767578125, 'test_loss': 0.8540992885828018}
{'recon_loss': 0.6478418707847595, 'kl_loss': 538.5704345703125, 'test_loss': 0.8540992885828018}
{'recon_loss': 0.6385870575904846, 'kl_loss': 426.818603515625, 'test_loss': 0.8540992885828018}
{'recon_loss': 0.6300748586654663, 'kl_loss': 625.9024658203125, 'test_loss': 0.8540992885828018}
{'recon_loss': 0.6949963569641113, 'kl_loss': 566.6823120117188, 'test_loss': 0.8540992885828018}
{'recon_loss': 0.6211374998092651, 'kl_loss': 495.9551696777344, 'test_loss': 0.8540992885828018}
{'recon_loss': 0.5360759496688843, 'kl_loss': 447.0780944824219, 'test_loss': 0.8540992885828018}
Epoch: 20, Test Loss: 0.7628374919295311
{'recon_loss': 0.5119660496711731, 'kl_loss': 259.43756103515625, 'test_loss': 0.7628374919295311}
{'recon_loss': 0.5520691275596619, 'kl_loss': 1066.068359375, 'test_loss': 0.7628374919295311}
{'recon_loss': 0.5037524104118347, 'kl_loss': 1563.5008544921875, 'test_loss': 0.7628374919295311}
{'recon_loss': 0.4826669692993164, 'kl_loss': 807.2023315429688, 'test_loss': 0.7628374919295311}
{'recon_loss': 0.460634708404541, 'kl_loss': 478.54217529296875, 'test_loss': 0.7628374919295311}
{'recon_loss': 0.4525972604751587, 'kl_loss': 313.93212890625, 'test_loss': 0.7628374919295311}
{'recon_loss': 0.4424729645252228, 'kl_loss': 241.89889526367188, 'test_loss': 0.7628374919295311}
{'recon_loss': 0.43083396553993225, 'kl_loss': 195.03353881835938, 'test_loss': 0.7628374919295311}
{'recon_loss': 0.4281781315803528, 'kl_loss': 179.1605682373047, 'test_loss': 0.7628374919295311}
{'recon_loss': 0.4258870482444763, 'kl_loss': 158.9958038330078, 'test_loss': 0.7628374919295311}
Epoch: 30, Test Loss: 0.655411921441555
{'recon_loss': 0.42411738634109497, 'kl_loss': 150.5576171875, 'test_loss': 0.655411921441555}
{'recon_loss': 0.43325287103652954, 'kl_loss': 171.5717010498047, 'test_loss': 0.655411921441555}
{'recon_loss': 0.4176511764526367, 'kl_loss': 177.76956176757812, 'test_loss': 0.655411921441555}
{'recon_loss': 0.41185683012008667, 'kl_loss': 180.58340454101562, 'test_loss': 0.655411921441555}
{'recon_loss': 0.4133014976978302, 'kl_loss': 184.72857666015625, 'test_loss': 0.655411921441555}
{'recon_loss': 0.4115320146083832, 'kl_loss': 208.72117614746094, 'test_loss': 0.655411921441555}
{'recon_loss': 0.40047305822372437, 'kl_loss': 196.6229248046875, 'test_loss': 0.655411921441555}
{'recon_loss': 0.39790916442871094, 'kl_loss': 163.29605102539062, 'test_loss': 0.655411921441555}
{'recon_loss': 0.4026055335998535, 'kl_loss': 136.84286499023438, 'test_loss': 0.655411921441555}
{'recon_loss': 0.4019714891910553, 'kl_loss': 141.36534118652344, 'test_loss': 0.655411921441555}
Epoch: 40, Test Loss: 0.4328654780983925
{'recon_loss': 0.38999059796333313, 'kl_loss': 129.89259338378906, 'test_loss': 0.4328654780983925}
{'recon_loss': 0.38839876651763916, 'kl_loss': 116.1163330078125, 'test_loss': 0.4328654780983925}
{'recon_loss': 0.3957093060016632, 'kl_loss': 111.83992767333984, 'test_loss': 0.4328654780983925}
{'recon_loss': 0.3850504159927368, 'kl_loss': 107.718017578125, 'test_loss': 0.4328654780983925}
{'recon_loss': 0.38750579953193665, 'kl_loss': 102.81546020507812, 'test_loss': 0.4328654780983925}
{'recon_loss': 0.39722421765327454, 'kl_loss': 94.57347106933594, 'test_loss': 0.4328654780983925}
{'recon_loss': 0.40333911776542664, 'kl_loss': 110.20341491699219, 'test_loss': 0.4328654780983925}
{'recon_loss': 0.38858723640441895, 'kl_loss': 133.48023986816406, 'test_loss': 0.4328654780983925}
{'recon_loss': 20.607633590698242, 'kl_loss': 67.65290832519531, 'test_loss': 0.4328654780983925}
{'recon_loss': 3.459406852722168, 'kl_loss': 158.60610961914062, 'test_loss': 0.4328654780983925}
Epoch: 50, Test Loss: 0.8971966803073883
{'recon_loss': 0.7289764881134033, 'kl_loss': 1161.86083984375, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.7103030681610107, 'kl_loss': 2408.779052734375, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.6095258593559265, 'kl_loss': 303.6873779296875, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.646701991558075, 'kl_loss': 288.5287780761719, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.5284238457679749, 'kl_loss': 1355.95654296875, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.5111960768699646, 'kl_loss': 168.37838745117188, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.5712273120880127, 'kl_loss': 163.21286010742188, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.6625878810882568, 'kl_loss': 6524.88671875, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.5360507369041443, 'kl_loss': 2421.038330078125, 'test_loss': 0.8971966803073883}
{'recon_loss': 0.5139009356498718, 'kl_loss': 677.2109375, 'test_loss': 0.8971966803073883}
Epoch: 60, Test Loss: 1.2567203640937805
{'recon_loss': 0.48249131441116333, 'kl_loss': 292.6339111328125, 'test_loss': 1.2567203640937805}
{'recon_loss': 0.4710111916065216, 'kl_loss': 171.51055908203125, 'test_loss': 1.2567203640937805}
